"state_name","state_abbrev","io_sector","employment","total_wages","avg_wage"
"Alabama","AL","711AS",4190,162939902,38887.8047732697
"Alabama","AL","713",18123,396014110,21851.4655410252
"Alabama","AL","721",17213,496109903,28821.8150816244
"Alabama","AL","722",166132,3677591963,22136.5658813474
"Alaska","AK","711AS",1155,41878649,36258.5705627706
"Alaska","AK","713",3972,113799944,28650.5397784491
"Alaska","AK","721",8640,354852490,41070.8900462963
"Alaska","AK","722",21950,645189672,29393.6069248292
"Arizona","AZ","711AS",15288,1607519870,105149.128074307
"Arizona","AZ","713",33078,949099052,28692.758086946
"Arizona","AZ","721",44485,1824381578,41011.1628189277
"Arizona","AZ","722",261181,7332664678,28075.031024462
"Arkansas","AR","711AS",3512,145715103,41490.6329726651
"Arkansas","AR","713",10016,270202869,26977.1235023962
"Arkansas","AR","721",11571,284643820,24599.7597441881
"Arkansas","AR","722",102439,2162958545,21114.6003475239
"California","CA","711AS",111702,15861362434,141997.121215377
"California","CA","713",220647,7573149337,34322.4668225718
"California","CA","721",212362,10179142603,47932.9757819196
"California","CA","722",1461552,45731419062,31289.62846481
"Colorado","CO","711AS",14094,1499348716,106382.05732936
"Colorado","CO","713",47846,1570641680,32827.0216946035
"Colorado","CO","721",46241,2015128995,43578.8368547393
"Colorado","CO","722",243672,7463623301,30629.7945640041
"Connecticut","CT","711AS",6814,366366974,53766.799823892
"Connecticut","CT","713",21004,703837300,33509.6791087412
"Connecticut","CT","721",9529,362460438,38037.6154895582
"Connecticut","CT","722",115911,3397696015,29312.9730137778
"Delaware","DE","711AS",1614,72154300,44705.2664188352
"Delaware","DE","713",7599,205685620,27067.4588761679
"Delaware","DE","721",4075,134914689,33107.8991411043
"Delaware","DE","722",39219,990571480,25257.4384864479
"District of Columbia","DC","711AS",6719,734830936,109366.116386367
"District of Columbia","DC","713",2905,117915337,40590.4774526678
"District of Columbia","DC","721",13517,892669694,66040.5189021233
"District of Columbia","DC","722",52651,2044360569,38828.5230859813
"Florida","FL","711AS",52337,4999176711,95518.9772245257
"Florida","FL","713",203141,7917699809,38976.3750744557
"Florida","FL","721",183113,7960754107,43474.543626067
"Florida","FL","722",854967,25081335266,29336.0273156742
"Georgia","GA","711AS",16706,1538528249,92094.352268646
"Georgia","GA","713",44092,1268217332,28762.9804046085
"Georgia","GA","721",45716,1669679847,36522.8770452358
"Georgia","GA","722",399092,9776314429,24496.3928843475
"Hawaii","HI","711AS",4393,178078130,40536.7926246301
"Hawaii","HI","713",8499,316397531,37227.618661019
"Hawaii","HI","721",38734,2441043945,63020.7039035473
"Hawaii","HI","722",65520,2111908591,32233.0371031746
"Idaho","ID","711AS",2385,73244204,30710.3580712788
"Idaho","ID","713",13035,353360589,27108.5990794016
"Idaho","ID","721",11102,341098833,30724.0887227527
"Idaho","ID","722",66076,1428470806,21618.6029117985
"Illinois","IL","711AS",25556,2285303358,89423.3588198466
"Illinois","IL","713",66025,1973547278,29890.9091707686
"Illinois","IL","721",45508,2108898306,46341.265403885
"Illinois","IL","722",456482,12522005019,27431.5417015348
"Indiana","IN","711AS",11516,920122575,79899.4941820076
"Indiana","IN","713",29003,757162047,26106.3354480571
"Indiana","IN","721",24312,799906969,32901.7344932544
"Indiana","IN","722",248417,5347694518,21527.0875906238
"Iowa","IA","711AS",4779,146090385,30569.2372881356
"Iowa","IA","713",15906,325806739,20483.2603420093
"Iowa","IA","721",17814,551682401,30969.035646121
"Iowa","IA","722",102765,2042172070,19872.2529071182
"Kansas","KS","711AS",3144,110601781,35178.683524173
"Kansas","KS","713",14251,337557821,23686.6059223914
"Kansas","KS","721",9698,260836864,26895.94390596
"Kansas","KS","722",105675,2233441987,21135.0081570854
"Kentucky","KY","711AS",9503,484214077,50953.8121645796
"Kentucky","KY","713",16315,363762437,22296.195954643
"Kentucky","KY","721",15093,440086573,29158.3232624395
"Kentucky","KY","722",163079,3658207392,22432.1181267974
"Louisiana","LA","711AS",7443,804516549,108090.35993551
"Louisiana","LA","713",19387,513735771,26498.9823593129
"Louisiana","LA","721",26777,959676284,35839.574410875
"Louisiana","LA","722",167886,3722243309,22171.2549527656
"Maine","ME","711AS",2528,111382207,44059.4173259494
"Maine","ME","713",7333,242445496,33062.2522841947
"Maine","ME","721",12531,472174317,37680.4977256404
"Maine","ME","722",46210,1360390399,29439.3074875568
"Maryland","MD","711AS",10630,828037272,77896.2626528692
"Maryland","MD","713",31914,886326922,27772.3545152598
"Maryland","MD","721",25847,1192750725,46146.5827755639
"Maryland","MD","722",195566,5332489884,27266.9578761134
"Massachusetts","MA","711AS",19567,1853430557,94722.2648847549
"Massachusetts","MA","713",42532,1484380921,34900.3320088404
"Massachusetts","MA","721",35819,1872474068,52276.0006700355
"Massachusetts","MA","722",262547,8501208506,32379.7586946337
"Michigan","MI","711AS",14492,1259968521,86942.3489511455
"Michigan","MI","713",39699,1009517271,25429.2871608857
"Michigan","MI","721",39860,1384644412,34737.6922227797
"Michigan","MI","722",326894,7679575132,23492.5545650884
"Minnesota","MN","711AS",15325,1390335490,90723.3598694943
"Minnesota","MN","713",31642,759998581,24018.6644649516
"Minnesota","MN","721",26188,838075250,32002.2624866351
"Minnesota","MN","722",194163,4858941533,25025.064162585
"Mississippi","MS","711AS",1149,40890505,35587.906875544
"Mississippi","MS","713",8475,174648357,20607.4757522124
"Mississippi","MS","721",24661,770009015,31223.7547139208
"Mississippi","MS","722",100297,1945656784,19398.9529497393
"Missouri","MO","711AS",15260,1230928126,80663.7041939712
"Missouri","MO","713",30514,748542699,24531.1233859868
"Missouri","MO","721",31649,1101862742,34815.0886915858
"Missouri","MO","722",231206,5477812949,23692.3477288652
"Montana","MT","711AS",1933,64118855,33170.6440765649
"Montana","MT","713",10588,249445521,23559.2671892709
"Montana","MT","721",15439,600588467,38900.736252348
"Montana","MT","722",44580,1025381054,23000.920906236
"Nebraska","NE","711AS",4581,152402017,33268.2857454704
"Nebraska","NE","713",11479,240146036,20920.4665911665
"Nebraska","NE","721",7809,215707097,27622.8834677936
"Nebraska","NE","722",73022,1536503952,21041.6580208704
"Nevada","NV","711AS",11356,1309413976,115305.915463191
"Nevada","NV","713",28700,949863768,33096.2985365854
"Nevada","NV","721",157646,7973681574,50579.6631313195
"Nevada","NV","722",146398,4412293631,30139.0294334622
"New Hampshire","NH","711AS",2233,97289692,43569.0515002239
"New Hampshire","NH","713",11599,332369996,28655.0561255281
"New Hampshire","NH","721",8468,294225989,34745.6293103448
"New Hampshire","NH","722",51246,1479148745,28863.691702767
"New Jersey","NJ","711AS",14061,1791112563,127381.591849797
"New Jersey","NJ","713",56409,1833544606,32504.4692513606
"New Jersey","NJ","721",45408,1998577259,44013.7697982734
"New Jersey","NJ","722",279522,8193751627,29313.4408991063
"New Mexico","NM","711AS",2798,115492084,41276.6561829878
"New Mexico","NM","713",8061,224781438,27885.0561965017
"New Mexico","NM","721",14548,438093628,30113.6670332692
"New Mexico","NM","722",74414,1797484743,24155.1958368049
"New York","NY","711AS",79241,9068334159,114439.92578337
"New York","NY","713",87697,3062299554,34919.0913486208
"New York","NY","721",86273,5141632131,59597.2335609055
"New York","NY","722",655391,22342833242,34090.8453762716
"North Carolina","NC","711AS",20553,1671625742,81332.4449958644
"North Carolina","NC","713",57334,1404184933,24491.3128858967
"North Carolina","NC","721",45428,1440328202,31705.736594171
"North Carolina","NC","722",407275,9643484986,23678.067610337
"North Dakota","ND","711AS",1364,34036830,24953.6876832845
"North Dakota","ND","713",5148,102775982,19964.2544677545
"North Dakota","ND","721",5801,164708032,28393.0411997931
"North Dakota","ND","722",27699,618292556,22321.8367450088
"Ohio","OH","711AS",23892,2154488521,90176.1477063452
"Ohio","OH","713",61539,1556584519,25294.2771088253
"Ohio","OH","721",34295,1015071376,29598.2322787578
"Ohio","OH","722",445389,9808633445,22022.6216745362
"Oklahoma","OK","711AS",5114,385402037,75362.1503715291
"Oklahoma","OK","713",14437,336784234,23327.854401884
"Oklahoma","OK","721",13144,342457048,26054.2489348752
"Oklahoma","OK","722",147955,3123770285,21112.9754655132
"Oregon","OR","711AS",7702,509489029,66150.2244871462
"Oregon","OR","713",19791,526238669,26589.7968268405
"Oregon","OR","721",24360,852737990,35005.6646141215
"Oregon","OR","722",154555,4309415899,27882.7336482158
"Pennsylvania","PA","711AS",28048,2378819284,84812.4388191671
"Pennsylvania","PA","713",71803,1922753044,26778.1714413047
"Pennsylvania","PA","721",56973,2015575271,35377.7275376055
"Pennsylvania","PA","722",404496,9393238522,23222.0801244017
"Rhode Island","RI","711AS",2240,101476801,45302.1433035714
"Rhode Island","RI","713",5844,178840219,30602.3646475017
"Rhode Island","RI","721",5976,239217423,40029.6892570281
"Rhode Island","RI","722",45173,1252957826,27736.8743718593
"South Carolina","SC","711AS",7636,283936334,37183.9096385542
"South Carolina","SC","713",28341,693560327,24471.9779471437
"South Carolina","SC","721",31917,1137418961,35636.7754174891
"South Carolina","SC","722",210412,4829835943,22954.1848516244
"South Dakota","SD","711AS",1938,56455148,29130.6233230134
"South Dakota","SD","713",5552,121442570,21873.6617435159
"South Dakota","SD","721",8207,225058034,27422.6920921165
"South Dakota","SD","722",33670,722758332,21465.9439263439
"Tennessee","TN","711AS",18472,2294455454,124212.616608922
"Tennessee","TN","713",29204,793542600,27172.3941925764
"Tennessee","TN","721",37526,1437187764,38298.453445611
"Tennessee","TN","722",276114,6907541529,25016.9912753428
"Texas","TX","711AS",42592,4006837352,94074.8814800902
"Texas","TX","713",117062,3323014600,28386.7916146999
"Texas","TX","721",129473,4796346572,37045.1489654214
"Texas","TX","722",1193357,30019216119,25155.2688080767
"Utah","UT","711AS",7871,492045027,62513.6611612248
"Utah","UT","713",22599,551644135,24410.1126156025
"Utah","UT","721",22360,807786158,36126.393470483
"Utah","UT","722",119335,2711461210,22721.4246449072
"Vermont","VT","711AS",1438,56766223,39475.8157162726
"Vermont","VT","713",3121,86933530,27854.3832105095
"Vermont","VT","721",10718,413048820,38537.8634073521
"Vermont","VT","722",19439,527624817,27142.5905139153
"Virginia","VA","711AS",13719,1028074246,74937.9871710766
"Virginia","VA","713",50889,1229220271,24154.9307512429
"Virginia","VA","721",40985,1452440209,35438.3361961693
"Virginia","VA","722",303093,7845803726,25885.7965244991
"Washington","WA","711AS",15299,1256684966,82141.641022289
"Washington","WA","713",38601,1123806577,29113.405792596
"Washington","WA","721",33068,1349140844,40798.9852425305
"Washington","WA","722",250218,7849235208,31369.5865525262
"West Virginia","WV","711AS",1013,29196313,28821.631786772
"West Virginia","WV","713",7735,158882483,20540.7217840983
"West Virginia","WV","721",10215,323736054,31692.2226138032
"West Virginia","WV","722",52643,1090899157,20722.5871815816
"Wisconsin","WI","711AS",12743,1039697192,81589.6721337205
"Wisconsin","WI","713",32435,671493794,20702.7530137197
"Wisconsin","WI","721",30070,847114196,28171.4065846358
"Wisconsin","WI","722",206643,4229106516,20465.7622856811
"Wyoming","WY","711AS",903,33372373,36957.2236987818
"Wyoming","WY","713",3158,85560680,27093.3122229259
"Wyoming","WY","721",12160,431967366,35523.6320723684
"Wyoming","WY","722",22022,498917000,22655.390064481
